title,url,category,filetype,slide_count,publishing_consultancy,description
"Construction Company Business Capability Model",https://flevy.com/browse/marketplace/construction-company-business-capability-model-3607,"Operational Excellence",PDF,1,"R Bradley Consulting","Business capability model PDF for construction companies. Download this detailed Construction Company Business Capability Model to map essential capabilities and drive growth."
"Post-merger Integration (PMI): Day One Activities",https://flevy.com/browse/flevypro/post-merger-integration-pmi-day-one-activities-4046,"Operational Excellence",PowerPoint,28,"LearnPPT Consulting","Post merger integration presentation PPT: Get a ready-to-use Day One Activities framework for smooth PMI process. Download the essential merger integration template now."
"Operational Excellence Roadmap Toolkit",https://flevy.com/browse/marketplace/operational-excellence-roadmap-toolkit-9859,"Operational Excellence",PowerPoint,760,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing OpEx Initiatives."
"Working Capital Management Strategy",https://flevy.com/browse/marketplace/working-capital-management-strategy-8911,"Operational Excellence",PowerPoint,84,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and details a robust approach to WCM Strategy used by consultants with their clients."
"Post-merger Integration (PMI): Integration Checklist (Part 1)",https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-1-4159,"Operational Excellence",PowerPoint,27,"LearnPPT Consulting","Post-merger Integration (PMI) checklist by ex-McKinsey & Big 4 consultants. Focus on Finance & Legal to maximize deal value and streamline processes."
"Lean - Value Stream Mapping &#40;VSM&#41;",https://flevy.com/browse/marketplace/lean-value-stream-mapping-vsm-599,"Operational Excellence",PowerPoint,157,"Operational Excellence Consulting LLC","Developed by a Senior Executive and Operational Excellence Coach with experience at organizations including NOKIA, MICROVENTION, and MAGELLAN, this is a presentation and templates for planning and performing a Value Stream Mapping Event."
"Complete Project Management Office PMO Toolkit",https://flevy.com/browse/marketplace/complete-project-management-office-pmo-toolkit-6895,"Operational Excellence",Excel,,"SB Consulting ","These templates are created by trained McKinsey, BCG, and Porsche Consulting consultants and are the same used by MBB, Big 4, and Fortune 100 companies when performing Project Management Initiatives."
"Gemba Walk",https://flevy.com/browse/marketplace/gemba-walk-543,"Operational Excellence",PowerPoint,108,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Leadership."
"Lean Standard Work: The Standard Pig Game",https://flevy.com/browse/marketplace/lean-standard-work-the-standard-pig-game-5388,"Operational Excellence",PowerPoint,26,"Operational Excellence Consulting","Developed by an experienced Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this engaging game provides a creative learning experience and showcases the significance of Standard Work."
"PDCA Problem Solving Process & Tools",https://flevy.com/browse/marketplace/pdca-problem-solving-process-and-tools-151,"Operational Excellence",PowerPoint,230,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"5S for the Office",https://flevy.com/browse/marketplace/5s-for-the-office-161,"Operational Excellence",PowerPoint,190,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"CMMI (Capability Maturity Model Integration) Checklist",https://flevy.com/browse/flevypro/cmmi-capability-maturity-model-integration-checklist-2946,"Operational Excellence",Excel,,Flevy,"Download the CMMI (Capability Maturity Model Integration) Checklist Excel template to assess and improve your maturity levels. Streamline your capability maturity process now."
"Post Acquisition Integration Strategy &#40;Post Merger Integration - PMI&#41;",https://flevy.com/browse/marketplace/post-acquisition-integration-strategy-post-merger-integration-pmi-659,"Operational Excellence",PDF,79,"Documents & Files","Post merger integration checklist PDF & strategy guide. Download the Post Acquisition Integration Strategy (PMI) PDF to streamline your merger process effectively."
"Post-merger Integration Training",https://flevy.com/browse/marketplace/post-merger-integration-training-756,"Operational Excellence",PowerPoint,131,"Documents & Files","Comprehensive Post-Merger Integration Training (PPT) by ex-McKinsey consultant. Master Day One readiness, synergy capture, and functional integration strategies."
"Post Merger Integration &#40;PMI&#41; Best Practice Framework",https://flevy.com/browse/marketplace/post-merger-integration-pmi-best-practice-framework-1204,"Operational Excellence",PowerPoint,28,STRATICX,"Post merger integration framework PPT: Learn best practices, processes, challenges, and playbook insights for smooth M&A success. Download the PMI template now."
"Supercharge Strategy Execution: Performance Scorecard",https://flevy.com/browse/marketplace/supercharge-strategy-execution-performance-scorecard-1870,"Operational Excellence",PowerPoint,35,"Trinity Consulting","Performance Scorecard: Proprietary framework crafted by ex BCG & EY Consultants - your blueprint for successful strategy execution and cross-functional collaboration."
"PMP Exam Prep - Five Day Session",https://flevy.com/browse/marketplace/pmp-exam-prep-five-day-session-6276,"Operational Excellence",PowerPoint,616,"RadVector  Consulting","Developed by a team of experts with global consulting experience at McKinsey, Deloitte, and  Capgemini. It&#039;s in accordance with PMI Authorized Training Partners &#40;ATPs&#41; and based on the PMBOK Guide &#40;7th Edition&#41;."
"KPI Compilation: 600+ Supply Chain Management KPIs",https://flevy.com/browse/marketplace/kpi-compilation-600-supply-chain-management-kpis-7858,"Operational Excellence",PowerPoint,141,"LearnPPT Consulting","This collection of Supply Chain KPIs is compiled by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants based on best practices in Supply Chain Management."
"KPI Compilation: 600+ Sales Management & Strategy KPIs",https://flevy.com/browse/marketplace/kpi-compilation-600-sales-management-and-strategy-kpis-7821,"Operational Excellence",PowerPoint,141,"LearnPPT Consulting","This collection of Sales KPIs is compiled by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants based on best practices in Sales Performance Management."
"8D Problem Solving Process & Tools",https://flevy.com/browse/marketplace/8d-problem-solving-process-and-tools-761,"Operational Excellence",PowerPoint,256,"Operational Excellence Consulting","Developed by a Certified Lean Six Sigma Black Belt with a global track record at industry giants like Microsoft and IBM, this presentation is your key to mastering the 8D methodology for unparalleled Product and Process Improvement."
"Center of Excellence &#40;CoE&#41;",https://flevy.com/browse/marketplace/center-of-excellence-coe-3764,"Operational Excellence",PowerPoint,60,"R Bradley Consulting","Center of Excellence framework PPT: Learn CoE models, concepts, and templates for Agile, AI, Salesforce, and BI. Download this professional PowerPoint now."
"Strategy Map",https://flevy.com/browse/flevypro/strategy-map-2488,"Operational Excellence",PowerPoint,20,"PPT Lab","Explore this Strategy Map PPT, crafted by ex-McKinsey and Big 4 consultants. Enhance strategic alignment using Balanced Scorecard frameworks and templates."
"Mergers and Acquisitions (M&A): Target Operating Model (TOM)",https://flevy.com/browse/flevypro/mergers-and-acquisitions-manda-target-operating-model-tom-3630,"Operational Excellence",PowerPoint,32,"LearnPPT Consulting","Mergers and Acquisitions (M&A) Target Operating Model (TOM) PPT. Get expert-ready slides for M&A operations, management presentations, and integration frameworks. Download now."
"Food & Beverage Company Business Capability Model",https://flevy.com/browse/marketplace/food-and-beverage-company-business-capability-model-3608,"Operational Excellence",PDF,1,"R Bradley Consulting","Food & Beverage Company Business Capability Model PDF: Download a detailed framework for Enterprise Architects and Business Architects to optimize operations and strategy."
"Project Management Essential Slides",https://flevy.com/browse/marketplace/project-management-essential-slides-7561,"Operational Excellence",PowerPoint,68,"Project in the Box","Our team, composed of former management consultants from top global corporations, leverages extensive project management and consulting experience to create precise, insightful, and impactful presentation templates."
"Blue-Green Game",https://flevy.com/browse/marketplace/blue-green-game-5394,"Operational Excellence",PowerPoint,35,"Operational Excellence Consulting","Developed by a seasoned Team Building Expert with a wealth of experience at industry giants like Microsoft and IBM, this popular Blue-Green Game empowers participants to achieve Win-Win outcomes through Trust, Teamwork, and Communication."
"Setting Up & Implementing a Project Management Office &#40;PMO&#41;",https://flevy.com/browse/marketplace/setting-up-and-implementing-a-project-management-office-pmo-1347,"Operational Excellence",PowerPoint,40,"S Ramani &#40;GRT Consulting)","PMO best practices PPT: Learn how to set up & implement a Project Management Office with clear roles, organizational structure, and implementation plans. Download PPT now."
"Cost Drivers Analysis",https://flevy.com/browse/marketplace/cost-drivers-analysis-76,"Operational Excellence",PowerPoint,18,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It explains the approach to Cost Drivers Analysis utilized by global strategy consulting firms."
"Business Process Reengineering &#40;BPR&#41;",https://flevy.com/browse/marketplace/business-process-reengineering-bpr-1340,"Operational Excellence",PowerPoint,157,"Operational Excellence Consulting","Developed by a seasoned Business Process Consultant with a proven track record at Microsoft, IBM and Panasonic, this presentation is your strategic guide to achieving business excellence through Business Process Reengineering &#40;BPR&#41;."
"Root Cause Analysis &#40;RCA&#41;",https://flevy.com/browse/marketplace/root-cause-analysis-rca-617,"Operational Excellence",PowerPoint,88,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"Process Mapping Series: Procure to Pay",https://flevy.com/browse/marketplace/process-mapping-series-procure-to-pay-2790,"Operational Excellence",PowerPoint,13,BusinessRules,"This presentation, created by a former Ernst & Young management consultant whose global clients include Bridgewater and Fannie Mae, depicts the Procure to Pay (P2P) process."
"Audit Report Model and Sample",https://flevy.com/browse/marketplace/audit-report-model-and-sample-268,"Operational Excellence",Word,26,"John Kyriazoglou","Audit report template Word: Download a professional Audit Report Model and Sample (DOC) for internal, inventory, and stock audits. Easy-to-use format for quick reporting."
"Project Management Workbook",https://flevy.com/browse/marketplace/project-management-workbook-212,"Operational Excellence",Excel,,ppandey87,"Optimize your project management with this Excel workbook, crafted by industry experts. Features Gantt charts, heat maps, and customizable tracking for all project types."
"Lean Office",https://flevy.com/browse/marketplace/lean-office-350,"Operational Excellence",PowerPoint,155,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"Process Map Series: Order to Cash",https://flevy.com/browse/marketplace/process-map-series-order-to-cash-1530,"Operational Excellence",PowerPoint,9,BusinessRules,"This presentation, created by a former Ernst & Young management consultant whose global clients include Bridgewater and Fannie Mae, depicts the Order to Cash (O2C) process."
"Business Continuity Planning - Guide, Process and Tools",https://flevy.com/browse/marketplace/business-continuity-planning-guide-process-and-tools-5352,"Operational Excellence",PowerPoint,61,"ILMAM - Strategy & Management Consulting","MBB/Big 4 style presentation that guides for business continuity planning &#40;BCP&#41; as part of holistic business continuity management &#40;BCM&#41; program"
"Process Automation & Digitalization Assessment",https://flevy.com/browse/marketplace/process-automation-and-digitalization-assessment-8498,"Operational Excellence",PowerPoint,41,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides an evaluation of over 150+ items across 6 functional workstreams."
"Reducing the Cost of Quality &#40;COQ&#41;",https://flevy.com/browse/marketplace/reducing-the-cost-of-quality-coq-150,"Operational Excellence",PowerPoint,131,"Operational Excellence Consulting","Developed by a distinguished TQM Expert with a proven track record at Siemens, NEC & Mustad, this comprehensive presentation is your key to achieving business excellence through Total Quality Management and Cost Reduction strategies."
"Visual Management",https://flevy.com/browse/marketplace/visual-management-640,"Operational Excellence",PowerPoint,153,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"Balanced Scorecard Deployment Process",https://flevy.com/browse/marketplace/balanced-scorecard-deployment-process-567,"Operational Excellence",PowerPoint,95,"Operational Excellence Consulting LLC","Developed by a Senior Executive and Operational Excellence Coach with experience at organizations including NOKIA, MICROVENTION, and MAGELLAN, this is a presentation and supporting templates about how to implement Balanced Scorecards."
"100+ Project Management Office &#40;PMO&#41; SOPs",https://flevy.com/browse/marketplace/100-project-management-office-pmo-sops-10086,"Operational Excellence",Excel,,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing Project Management Initiatives."
"Business Process Maturity Model (BPMM) Series: BPMM Primer",https://flevy.com/browse/flevypro/business-process-maturity-model-bpmm-series-bpmm-primer-4196,"Operational Excellence",PowerPoint,23,"LearnPPT Consulting","Business Process Maturity Model (BPMM) PPTX: Learn BPMM stages, assessment, and meaning. Download this primer to understand BPM maturity levels and improve processes."
"Plan On a Page Examples Editable MS PowerPoint Template",https://flevy.com/browse/marketplace/plan-on-a-page-examples-editable-ms-powerpoint-template-5712,"Operational Excellence",PowerPoint,39,i_Pro_PM_Templates,"This PowerPoint template is both editable and easy to use and offers a very quick way to construct a Plan On a Page &#40;POaP&#41; for both internal and external stakeholders."
"Kaizen Event Guide",https://flevy.com/browse/marketplace/kaizen-event-guide-311,"Operational Excellence",PowerPoint,143,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive guide is your pathway to achieving Operational Excellence through Lean Methodologies."
"Overview of Program Management",https://flevy.com/browse/marketplace/overview-of-program-management-1537,"Operational Excellence",PowerPoint,70,"S Ramani &#40;GRT Consulting)","Program Management Overview PPT: Learn PMI-aligned program lifecycle, governance, benefits realization, and stakeholder engagement. Download this detailed presentation now."
"Equipment Leasing Company Financial Model",https://flevy.com/browse/marketplace/equipment-leasing-company-financial-model-6580,"Operational Excellence",Excel,,"Profit Vision","This financial model is built by a certified Financial Modeling & Valuation Analyst with over 20+ years of global experience managing over $500MM+ in corporate finances."
"Stage-Gate Process",https://flevy.com/browse/flevypro/stage-gate-process-8895,"Operational Excellence",PowerPoint,32,"LearnPPT Consulting","Explore the Stage-Gate Process, crafted by ex-McKinsey and Big 4 consultants, to enhance Project Management and Innovation across industries."
"5S Poster",https://flevy.com/browse/marketplace/5s-poster-5309,"Operational Excellence",PDF,3,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at industry leaders like Microsoft, IBM and Panasonic, this poster is your pathway to achieving Operational Excellence through Lean Methodologies."
"Post-merger Integration (PMI): Integration Checklist (Part 2)",https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-2-4160,"Operational Excellence",PowerPoint,27,"LearnPPT Consulting","Developed by ex-McKinsey & Big 4 consultants, this PMI checklist offers strategic insights on HR, Personnel, and Corporate Communications for seamless integration."
"Storyline Templates - An Introduction",https://flevy.com/browse/marketplace/storyline-templates-an-introduction-3460,"Operational Excellence",PowerPoint,20,"Clarity First ","McKinsey 3 years on staff, 15 years freelance trainer & coach | Barbara Minto Approved | BCG training designer | Coaches at FX10 and ASX 10 | Startup founder | Author | C-suite Coach."
"Performance Management Maturity Model",https://flevy.com/browse/flevypro/performance-management-maturity-model-5108,"Operational Excellence",PowerPoint,25,"LearnPPT Consulting","Explore the Performance Management Maturity Model, crafted by ex-McKinsey and Big 4 consultants. Assess and optimize your organization's performance capabilities."
"Complete Guide to Risk Management &#40;M_o_R&#41;",https://flevy.com/browse/marketplace/complete-guide-to-risk-management-mor-437,"Operational Excellence",PowerPoint,85,"Dartview Consulting","Risk management PPT: Learn key tools, techniques, and training essentials with the Complete Guide to Risk Management (M_o_R) in PowerPoint. Download now."
"COO&#039;s Guide to Operational Efficiency &#40;+Templates&#41;",https://flevy.com/browse/marketplace/cooand039s-guide-to-operational-efficiency-templates-9545,"Operational Excellence",PowerPoint,1306,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing OpEx Initiatives."
"Project Plan: Simple/Advanced Gantt Chart Templates/Examples",https://flevy.com/browse/marketplace/project-plan-simple-advanced-gantt-chart-templates-examples-3778,"Operational Excellence",Excel,,"Navigate Change Consulting","Streamline project management with our Gantt Chart templates. Created by industry experts, this Excel tool ensures on-time, quality delivery."
"Business Continuity Planning &#40;BCP&#41; & Disaster Recovery &#40;DR&#41; Templates",https://flevy.com/browse/marketplace/business-continuity-planning-bcp-and-disaster-recovery-dr-templates-837,"Operational Excellence",Excel,,giovanni,"Developed by an ex-Big 4 management consultant with 10 years of experience, these BCP/DR Excel templates are scrubbed versions of actual deliverables for Fortune 500 companies across multiple industries."
"Post-merger Integration (PMI): Integration Checklist (Part 3)",https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-3-4161,"Operational Excellence",PowerPoint,28,"LearnPPT Consulting","Post-merger Integration (PMI) Checklist by ex-McKinsey & Big 4 consultants. Streamline IT, culture, and sales strategies for optimal deal value."
"Supply Chain Strategy Tools & Techniques",https://flevy.com/browse/marketplace/supply-chain-strategy-tools-and-techniques-737,"Operational Excellence",PowerPoint,67,"Documents & Files","Business analysis tools and techniques PPT for supply chain strategy. Learn key methods, analytics, and decision-making frameworks. Download the PowerPoint now."
"Supply Chain Resilience",https://flevy.com/browse/flevypro/supply-chain-resilience-4147,"Operational Excellence",PowerPoint,23,"LearnPPT Consulting","Supply Chain Resilience PPT: Learn key strategies to build a resilient supply chain, tackle CPG challenges, and ensure continuity. Download this expert template now."
"Lean Standard Work",https://flevy.com/browse/marketplace/lean-standard-work-622,"Operational Excellence",PowerPoint,147,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"CX Improvement Program: Delivering Service Excellence",https://flevy.com/browse/marketplace/cx-improvement-program-delivering-service-excellence-159,"Operational Excellence",PowerPoint,136,"Operational Excellence Consulting","Developed by a seasoned Customer Experience Expert with a proven track record at industry leaders such as Microsoft and IBM, this comprehensive presentation is your roadmap to enhancing customer experience and driving satisfaction."
"Strategy Classics: Value Disciplines Model",https://flevy.com/browse/flevypro/strategy-classics-value-disciplines-model-5138,"Operational Excellence",PowerPoint,27,"LearnPPT Consulting","Explore the Value Disciplines Model, crafted by ex-McKinsey & Big 4 consultants. Align your strategy with Operational Excellence, Product Leadership, or Customer Intimacy."
"Total Quality Management &#40;TQM&#41;",https://flevy.com/browse/marketplace/total-quality-management-tqm-152,"Operational Excellence",PowerPoint,181,"Operational Excellence Consulting","Developed by a seasoned TQM Consultant with a proven track record at Microsoft, IBM and Underwriters Laboratories &#40;UL&#41;, this comprehensive presentation is your pathway to achieving business excellence through Total Quality Management."
